date,total_count,count,ratio,phrase,category,month
2023-01-01,386660,28,7.241504163864894e-05,aging crisis,limiting,2023-01
2023-01-02,376736,25,6.635946657606387e-05,aging crisis,limiting,2023-01
2023-01-03,463750,57,0.00012291105121293801,aging crisis,limiting,2023-01
2023-01-04,476285,76,0.00015956832568735107,aging crisis,limiting,2023-01
2023-01-05,513716,50,9.733004228017036e-05,aging crisis,limiting,2023-01
2023-01-06,446257,55,0.00012324736642786556,aging crisis,limiting,2023-01
2023-01-07,338006,69,0.00020413838807595131,aging crisis,limiting,2023-01
2023-01-08,321144,30,9.341603766534639e-05,aging crisis,limiting,2023-01
2023-01-09,516613,134,0.00025938178094627893,aging crisis,limiting,2023-01
2023-01-10,518847,60,0.00011564102712360291,aging crisis,limiting,2023-01
2023-01-11,555868,80,0.0001439190599207006,aging crisis,limiting,2023-01
2023-01-12,526056,70,0.00013306568122025032,aging crisis,limiting,2023-01
2023-01-13,488831,89,0.0001820670129349407,aging crisis,limiting,2023-01
2023-01-14,322746,37,0.00011464123490298873,aging crisis,limiting,2023-01
2023-01-15,311609,30,9.627449784826497e-05,aging crisis,limiting,2023-01
2023-01-16,460938,134,0.00029071154905865865,aging crisis,limiting,2023-01
2023-01-17,508077,318,0.0006258893829084962,aging crisis,limiting,2023-01
2023-01-18,524187,122,0.000232741369015256,aging crisis,limiting,2023-01
2023-01-19,517612,95,0.00018353515760840167,aging crisis,limiting,2023-01
2023-01-20,483858,122,0.00025214009068776376,aging crisis,limiting,2023-01
2023-01-21,325412,35,0.00010755595982938552,aging crisis,limiting,2023-01
2023-01-22,311528,31,9.950951439356976e-05,aging crisis,limiting,2023-01
2023-01-23,474487,154,0.0003245610522522219,aging crisis,limiting,2023-01
2023-01-24,503497,192,0.00038133295729666714,aging crisis,limiting,2023-01
2023-01-25,513829,113,0.00021991752119868672,aging crisis,limiting,2023-01
2023-01-26,504774,145,0.0002872572676088705,aging crisis,limiting,2023-01
2023-01-27,478129,74,0.00015476994702266544,aging crisis,limiting,2023-01
2023-01-28,327154,24,7.335994669177207e-05,aging crisis,limiting,2023-01
2023-01-29,337263,25,7.412612708776237e-05,aging crisis,limiting,2023-01
2023-01-30,498506,37,7.422177466269213e-05,aging crisis,limiting,2023-01
2023-01-31,520924,74,0.00014205527101842112,aging crisis,limiting,2023-01
2023-02-01,545720,67,0.00012277358352268561,aging crisis,limiting,2023-02
2023-02-02,521178,80,0.00015349842088499514,aging crisis,limiting,2023-02
2023-02-03,479265,44,9.180724651288953e-05,aging crisis,limiting,2023-02
2023-02-04,336576,19,5.6450846168473096e-05,aging crisis,limiting,2023-02
2023-02-05,313435,132,0.0004211399492717788,aging crisis,limiting,2023-02
2023-02-06,489890,120,0.00024495294862111904,aging crisis,limiting,2023-02
2023-02-07,509337,90,0.00017670029862350468,aging crisis,limiting,2023-02
2023-02-08,527289,99,0.000187752826248983,aging crisis,limiting,2023-02
2023-02-09,519827,110,0.00021160886217914807,aging crisis,limiting,2023-02
2023-02-10,490576,104,0.0002119956948566583,aging crisis,limiting,2023-02
2023-02-11,321346,155,0.0004823461315840247,aging crisis,limiting,2023-02
2023-02-12,315406,35,0.0001109680855785876,aging crisis,limiting,2023-02
2023-02-13,484652,77,0.00015887688485758853,aging crisis,limiting,2023-02
2023-02-14,511527,61,0.00011925079223579597,aging crisis,limiting,2023-02
2023-02-15,517380,66,0.0001275658123622869,aging crisis,limiting,2023-02
2023-02-16,519253,63,0.00012132813869154343,aging crisis,limiting,2023-02
2023-02-17,484478,86,0.00017751064031803302,aging crisis,limiting,2023-02
2023-02-18,321085,15,4.6716601522961207e-05,aging crisis,limiting,2023-02
2023-02-19,310960,53,0.00017043992796501157,aging crisis,limiting,2023-02
2023-02-20,443848,61,0.00013743443701447344,aging crisis,limiting,2023-02
2023-02-21,479395,49,0.00010221216324742644,aging crisis,limiting,2023-02
2023-02-22,501956,49,9.761811792268645e-05,aging crisis,limiting,2023-02
2023-02-23,496300,60,0.00012089462018940157,aging crisis,limiting,2023-02
2023-02-24,471742,76,0.00016110501078979612,aging crisis,limiting,2023-02
2023-02-25,323605,40,0.00012360748443318242,aging crisis,limiting,2023-02
2023-02-26,307580,48,0.0001560569607906886,aging crisis,limiting,2023-02
2023-02-27,475064,38,7.998922250475725e-05,aging crisis,limiting,2023-02
2023-02-28,500745,121,0.00024163995646486736,aging crisis,limiting,2023-02
2023-03-01,514545,113,0.00021961150142358783,aging crisis,limiting,2023-03
2023-03-02,510532,71,0.0001390706165333417,aging crisis,limiting,2023-03
2023-03-03,478228,60,0.00012546316819592328,aging crisis,limiting,2023-03
2023-03-04,318967,19,5.9567290660162335e-05,aging crisis,limiting,2023-03
2023-03-05,306986,25,8.143693849230909e-05,aging crisis,limiting,2023-03
2023-03-06,477110,90,0.00018863574437760685,aging crisis,limiting,2023-03
2023-03-07,491276,67,0.00013637955039529713,aging crisis,limiting,2023-03
2023-03-08,479238,99,0.00020657794248369287,aging crisis,limiting,2023-03
2023-03-09,500869,95,0.00018967035292661354,aging crisis,limiting,2023-03
2023-03-10,474747,50,0.00010531925425542447,aging crisis,limiting,2023-03
2023-03-11,312372,35,0.00011204589399818165,aging crisis,limiting,2023-03
2023-03-12,313775,19,6.055294398852681e-05,aging crisis,limiting,2023-03
2023-03-13,483073,51,0.00010557410577697366,aging crisis,limiting,2023-03
2023-03-14,502396,48,9.554216195988821e-05,aging crisis,limiting,2023-03
2023-03-15,512681,47,9.167494016747256e-05,aging crisis,limiting,2023-03
2023-03-16,515796,53,0.00010275380189066995,aging crisis,limiting,2023-03
2023-03-17,477867,58,0.0001213726831942779,aging crisis,limiting,2023-03
2023-03-18,312067,20,6.408880144327981e-05,aging crisis,limiting,2023-03
2023-03-19,301941,23,7.617382203808028e-05,aging crisis,limiting,2023-03
2023-03-20,473417,70,0.00014786118791678372,aging crisis,limiting,2023-03
2023-03-21,486641,45,9.247063030036515e-05,aging crisis,limiting,2023-03
2023-03-22,503482,50,9.930841618965524e-05,aging crisis,limiting,2023-03
2023-03-23,494531,74,0.0001496367265146169,aging crisis,limiting,2023-03
2023-03-24,462455,153,0.00033084300094063206,aging crisis,limiting,2023-03
2023-03-25,309743,28,9.039752310786685e-05,aging crisis,limiting,2023-03
2023-03-26,299147,44,0.0001470848780031222,aging crisis,limiting,2023-03
2023-03-27,475695,43,9.039405501424232e-05,aging crisis,limiting,2023-03
2023-03-28,490819,45,9.168349228534348e-05,aging crisis,limiting,2023-03
2023-03-29,497556,44,8.843225687158833e-05,aging crisis,limiting,2023-03
2023-03-30,420677,49,0.00011647891375093004,aging crisis,limiting,2023-03
2023-03-31,449869,57,0.00012670355147831924,aging crisis,limiting,2023-03
2023-04-01,315540,32,0.00010141344995880078,aging crisis,limiting,2023-04
2023-04-02,309179,24,7.762493571685011e-05,aging crisis,limiting,2023-04
2023-04-03,476836,38,7.969196956605626e-05,aging crisis,limiting,2023-04
2023-04-04,487193,75,0.00015394309852563562,aging crisis,limiting,2023-04
2023-04-05,488458,115,0.00023543477637790762,aging crisis,limiting,2023-04
2023-04-06,459113,62,0.00013504300684145297,aging crisis,limiting,2023-04
2023-04-07,389270,42,0.00010789426362165079,aging crisis,limiting,2023-04
2023-04-08,290669,19,6.53664477464057e-05,aging crisis,limiting,2023-04
2023-04-09,273774,28,0.00010227413852301533,aging crisis,limiting,2023-04
2023-04-10,405537,50,0.0001232933123241529,aging crisis,limiting,2023-04
2023-04-11,477794,59,0.00012348417937437474,aging crisis,limiting,2023-04
2023-04-12,488672,42,8.594722022133456e-05,aging crisis,limiting,2023-04
2023-04-13,490386,96,0.00019576415313650878,aging crisis,limiting,2023-04
2023-04-14,456649,57,0.00012482234714189674,aging crisis,limiting,2023-04
2023-04-15,304282,24,7.88742022203088e-05,aging crisis,limiting,2023-04
2023-04-16,294116,13,4.420024752138612e-05,aging crisis,limiting,2023-04
2023-04-17,449839,32,7.113656219225101e-05,aging crisis,limiting,2023-04
2023-04-18,487585,41,8.408790262210691e-05,aging crisis,limiting,2023-04
2023-04-19,495117,61,0.0001232032024753745,aging crisis,limiting,2023-04
2023-04-20,505072,40,7.91966293914531e-05,aging crisis,limiting,2023-04
2023-04-21,442165,47,0.00010629516130856129,aging crisis,limiting,2023-04
2023-04-22,291122,16,5.4959776313710405e-05,aging crisis,limiting,2023-04
2023-04-23,285319,16,5.607758333654611e-05,aging crisis,limiting,2023-04
2023-04-24,453171,118,0.0002603873592970424,aging crisis,limiting,2023-04
2023-04-25,478078,85,0.0001777952551675668,aging crisis,limiting,2023-04
2023-04-26,499642,57,0.00011408168248465902,aging crisis,limiting,2023-04
2023-04-27,503305,56,0.00011126454138146849,aging crisis,limiting,2023-04
2023-04-28,477911,35,7.323539320082609e-05,aging crisis,limiting,2023-04
2023-04-29,312100,25,8.010253123998718e-05,aging crisis,limiting,2023-04
2023-04-30,292074,24,8.21709566753631e-05,aging crisis,limiting,2023-04
2023-05-01,382308,46,0.00012032183475103844,aging crisis,limiting,2023-05
2023-05-02,472981,84,0.00017759698592543886,aging crisis,limiting,2023-05
2023-05-03,496390,85,0.00017123632627571064,aging crisis,limiting,2023-05
2023-05-04,496481,57,0.00011480801883657179,aging crisis,limiting,2023-05
2023-05-05,463524,93,0.00020063686022730215,aging crisis,limiting,2023-05
2023-05-06,318236,14,4.399250870423208e-05,aging crisis,limiting,2023-05
2023-05-07,305413,12,3.929105833739886e-05,aging crisis,limiting,2023-05
2023-05-08,460286,86,0.0001868403557787984,aging crisis,limiting,2023-05
2023-05-09,488772,63,0.00012889445385578553,aging crisis,limiting,2023-05
2023-05-10,520267,61,0.00011724749023097755,aging crisis,limiting,2023-05
2023-05-11,499831,53,0.00010603584011395851,aging crisis,limiting,2023-05
2023-05-12,475520,56,0.00011776581426648721,aging crisis,limiting,2023-05
2023-05-13,290386,22,7.576122815838229e-05,aging crisis,limiting,2023-05
2023-05-14,247082,32,0.00012951166009664806,aging crisis,limiting,2023-05
2023-05-15,476911,40,8.387309162506211e-05,aging crisis,limiting,2023-05
2023-05-16,508558,64,0.00012584601952972917,aging crisis,limiting,2023-05
2023-05-17,516177,72,0.0001394870364235524,aging crisis,limiting,2023-05
2023-05-18,491864,64,0.0001301172681879544,aging crisis,limiting,2023-05
2023-05-19,475987,37,7.773321540294168e-05,aging crisis,limiting,2023-05
2023-05-20,313906,23,7.327034207692749e-05,aging crisis,limiting,2023-05
2023-05-21,305588,17,5.5630456693325654e-05,aging crisis,limiting,2023-05
