date,count,phrase,category,province
2023-01-01,2,aging crisis,limiting,Ontario
2023-01-02,0,aging crisis,limiting,Ontario
2023-01-03,1,aging crisis,limiting,Ontario
2023-01-04,0,aging crisis,limiting,Ontario
2023-01-05,2,aging crisis,limiting,Ontario
2023-01-06,1,aging crisis,limiting,Ontario
2023-01-07,3,aging crisis,limiting,Ontario
2023-01-08,1,aging crisis,limiting,Ontario
2023-01-09,16,aging crisis,limiting,Ontario
2023-01-10,1,aging crisis,limiting,Ontario
2023-01-11,1,aging crisis,limiting,Ontario
2023-01-12,0,aging crisis,limiting,Ontario
2023-01-13,1,aging crisis,limiting,Ontario
2023-01-14,0,aging crisis,limiting,Ontario
2023-01-15,0,aging crisis,limiting,Ontario
2023-01-16,10,aging crisis,limiting,Ontario
2023-01-17,5,aging crisis,limiting,Ontario
2023-01-18,1,aging crisis,limiting,Ontario
2023-01-19,3,aging crisis,limiting,Ontario
2023-01-20,15,aging crisis,limiting,Ontario
2023-01-21,0,aging crisis,limiting,Ontario
2023-01-22,0,aging crisis,limiting,Ontario
2023-01-23,3,aging crisis,limiting,Ontario
2023-01-24,0,aging crisis,limiting,Ontario
2023-01-25,3,aging crisis,limiting,Ontario
2023-01-26,8,aging crisis,limiting,Ontario
2023-01-27,2,aging crisis,limiting,Ontario
2023-01-28,1,aging crisis,limiting,Ontario
2023-01-29,1,aging crisis,limiting,Ontario
2023-01-30,1,aging crisis,limiting,Ontario
2023-01-31,3,aging crisis,limiting,Ontario
2023-02-01,0,aging crisis,limiting,Ontario
2023-02-02,3,aging crisis,limiting,Ontario
2023-02-03,0,aging crisis,limiting,Ontario
2023-02-04,2,aging crisis,limiting,Ontario
2023-02-05,11,aging crisis,limiting,Ontario
2023-02-06,0,aging crisis,limiting,Ontario
2023-02-07,0,aging crisis,limiting,Ontario
2023-02-08,2,aging crisis,limiting,Ontario
2023-02-09,7,aging crisis,limiting,Ontario
2023-02-10,3,aging crisis,limiting,Ontario
2023-02-11,41,aging crisis,limiting,Ontario
2023-02-12,0,aging crisis,limiting,Ontario
2023-02-13,3,aging crisis,limiting,Ontario
2023-02-14,0,aging crisis,limiting,Ontario
2023-02-15,8,aging crisis,limiting,Ontario
2023-02-16,1,aging crisis,limiting,Ontario
2023-02-17,3,aging crisis,limiting,Ontario
2023-02-18,1,aging crisis,limiting,Ontario
2023-02-19,1,aging crisis,limiting,Ontario
2023-02-20,0,aging crisis,limiting,Ontario
2023-02-21,1,aging crisis,limiting,Ontario
2023-02-22,0,aging crisis,limiting,Ontario
2023-02-23,1,aging crisis,limiting,Ontario
2023-02-24,0,aging crisis,limiting,Ontario
2023-02-25,0,aging crisis,limiting,Ontario
2023-02-26,1,aging crisis,limiting,Ontario
2023-02-27,0,aging crisis,limiting,Ontario
2023-02-28,2,aging crisis,limiting,Ontario
2023-03-01,4,aging crisis,limiting,Ontario
2023-03-02,3,aging crisis,limiting,Ontario
2023-03-03,1,aging crisis,limiting,Ontario
2023-03-04,3,aging crisis,limiting,Ontario
2023-03-05,0,aging crisis,limiting,Ontario
2023-03-06,2,aging crisis,limiting,Ontario
2023-03-07,0,aging crisis,limiting,Ontario
2023-03-08,1,aging crisis,limiting,Ontario
2023-03-09,3,aging crisis,limiting,Ontario
2023-03-10,4,aging crisis,limiting,Ontario
2023-03-11,0,aging crisis,limiting,Ontario
2023-03-12,1,aging crisis,limiting,Ontario
2023-03-13,0,aging crisis,limiting,Ontario
2023-03-14,1,aging crisis,limiting,Ontario
2023-03-15,0,aging crisis,limiting,Ontario
2023-03-16,2,aging crisis,limiting,Ontario
2023-03-17,0,aging crisis,limiting,Ontario
2023-03-18,1,aging crisis,limiting,Ontario
2023-03-19,0,aging crisis,limiting,Ontario
2023-03-20,1,aging crisis,limiting,Ontario
2023-03-21,1,aging crisis,limiting,Ontario
2023-03-22,2,aging crisis,limiting,Ontario
2023-03-23,0,aging crisis,limiting,Ontario
2023-03-24,19,aging crisis,limiting,Ontario
2023-03-25,0,aging crisis,limiting,Ontario
2023-03-26,0,aging crisis,limiting,Ontario
2023-03-27,1,aging crisis,limiting,Ontario
2023-03-28,1,aging crisis,limiting,Ontario
2023-03-29,0,aging crisis,limiting,Ontario
2023-03-30,0,aging crisis,limiting,Ontario
2023-03-31,0,aging crisis,limiting,Ontario
2023-04-01,0,aging crisis,limiting,Ontario
2023-04-02,0,aging crisis,limiting,Ontario
2023-04-03,2,aging crisis,limiting,Ontario
2023-04-04,3,aging crisis,limiting,Ontario
2023-04-05,2,aging crisis,limiting,Ontario
2023-04-06,2,aging crisis,limiting,Ontario
2023-04-07,0,aging crisis,limiting,Ontario
2023-04-08,0,aging crisis,limiting,Ontario
2023-04-09,0,aging crisis,limiting,Ontario
2023-04-10,0,aging crisis,limiting,Ontario
2023-04-11,0,aging crisis,limiting,Ontario
2023-04-12,0,aging crisis,limiting,Ontario
2023-04-13,1,aging crisis,limiting,Ontario
2023-04-14,1,aging crisis,limiting,Ontario
2023-04-15,0,aging crisis,limiting,Ontario
2023-04-16,0,aging crisis,limiting,Ontario
2023-04-17,0,aging crisis,limiting,Ontario
2023-04-18,0,aging crisis,limiting,Ontario
2023-04-19,1,aging crisis,limiting,Ontario
2023-04-20,0,aging crisis,limiting,Ontario
2023-04-21,2,aging crisis,limiting,Ontario
2023-04-22,0,aging crisis,limiting,Ontario
2023-04-23,1,aging crisis,limiting,Ontario
2023-04-24,7,aging crisis,limiting,Ontario
2023-04-25,5,aging crisis,limiting,Ontario
2023-04-26,0,aging crisis,limiting,Ontario
2023-04-27,1,aging crisis,limiting,Ontario
2023-04-28,4,aging crisis,limiting,Ontario
2023-04-29,0,aging crisis,limiting,Ontario
2023-04-30,0,aging crisis,limiting,Ontario
2023-05-01,0,aging crisis,limiting,Ontario
2023-05-02,1,aging crisis,limiting,Ontario
2023-05-03,3,aging crisis,limiting,Ontario
2023-05-04,1,aging crisis,limiting,Ontario
